,Player,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PF,PTS,Salary,Pick
237,John Henson,17.1,0.67,0.098,0.255,8.3,20.8,14.5,9.3,2.1,4.5,20.9,16.7,0.2,0.2,0.4,0.11,-1.2,1.8,0.6,0.1,PF,29,DET,11,6.0,17.1,3.1,4.6,0.667,0.2,0.5,0.4,2.9,4.2,0.696,0.686,0.5,1.2,0.462,4.4,1.0,0.7,0.9,1.4,2.1,6.9,9732396,14
238,John Konchar,18.0,0.713,0.27,0.054,10.7,16.6,13.7,16.2,1.8,1.5,15.6,10.3,0.5,0.2,0.7,0.182,2.5,2.0,4.5,0.3,SG,23,MEM,19,0.001,9.5,1.3,1.9,0.649,0.3,0.5,0.5,1.0,1.4,0.704,0.716,0.1,0.1,0.5,2.5,1.2,0.4,0.2,0.4,0.4,2.8,79568,61
239,Johnathan Motley,28.5,0.774,0.067,0.467,7.8,17.3,12.7,32.9,3.5,0.001,21.7,23.5,0.2,0.1,0.3,0.299,4.8,3.3,8.1,0.1,PF,24,LAC,13,0.001,3.2,0.8,1.2,0.733,0.1,0.1,1.0,0.8,1.1,0.714,0.767,0.4,0.5,0.714,0.8,0.6,0.2,0.001,0.4,0.5,2.2,79568,61
240,Johnathan Williams,14.0,0.566,0.059,0.382,14.0,25.3,19.4,5.9,0.3,3.9,11.2,10.3,0.3,0.1,0.4,0.109,-0.8,-1.4,-2.2,0.001,C,24,WAS,15,6.0,12.0,1.3,2.3,0.559,0.001,0.1,0.001,1.3,2.1,0.594,0.559,0.5,0.9,0.538,4.3,0.5,0.1,0.5,0.3,1.1,3.0,161245,61
241,Jonah Bolden,4.9,0.392,0.364,0.364,7.0,14.3,10.6,0.001,3.0,3.7,13.6,13.4,-0.1,0.1,0.001,-0.006,-8.7,-0.1,-8.8,-0.1,PF,24,TOT,7,0.001,6.7,0.6,1.6,0.364,0.001,0.6,0.001,0.6,1.0,0.571,0.364,0.3,0.6,0.5,1.3,0.001,0.4,0.3,0.3,1.4,1.4,89846,36
242,Jonas Valanciunas,22.2,0.631,0.123,0.271,12.4,32.2,22.5,10.9,0.8,3.6,13.3,21.5,4.2,2.8,7.0,0.182,2.1,0.2,2.4,2.0,C,27,MEM,70,70.0,26.4,6.2,10.6,0.585,0.5,1.3,0.352,5.7,9.3,0.617,0.606,2.1,2.9,0.74,11.3,1.9,0.4,1.1,1.8,2.6,14.9,16000000,5
243,Jonathan Isaac,17.3,0.552,0.283,0.232,6.2,19.6,12.7,7.4,2.6,7.2,11.8,18.3,0.6,1.9,2.5,0.12,-0.5,2.9,2.3,1.1,SF,22,ORL,34,32.0,28.8,4.6,9.8,0.47,0.9,2.8,0.34,3.6,7.0,0.521,0.518,1.8,2.3,0.779,6.8,1.4,1.6,2.3,1.4,2.4,11.9,5806440,6
244,Jordan Bell,12.6,0.635,0.429,0.286,10.2,4.9,7.5,12.9,2.2,0.001,27.6,21.6,0.001,0.001,0.001,0.047,-0.5,-1.0,-1.5,0.001,PF,25,MEM,2,0.001,10.5,1.5,3.5,0.429,1.0,1.5,0.667,0.5,2.0,0.25,0.571,1.0,1.0,1.0,1.5,1.0,0.5,0.001,1.5,1.0,5.0,250000,38
245,Jordan Bone,0.8,0.3,0.5,0.001,0.001,8.7,4.3,21.0,0.9,0.001,9.1,18.1,-0.1,0.001,-0.1,-0.117,-9.1,-2.8,-11.9,-0.1,PG,22,DET,10,0.001,5.3,0.5,2.0,0.25,0.2,1.0,0.2,0.3,1.0,0.3,0.3,0.001,0.001,0.7735000000000001,0.4,0.8,0.1,0.001,0.2,0.6,1.2,79568,57
246,Jordan Clarkson,17.3,0.574,0.476,0.19,3.3,8.7,6.1,13.2,1.3,0.8,9.4,26.3,2.4,1.0,3.4,0.096,2.4,-1.3,1.1,1.3,SG,27,TOT,71,2.0,24.0,5.5,12.2,0.454,2.1,5.8,0.368,3.4,6.4,0.533,0.542,1.9,2.3,0.836,2.6,1.9,0.6,0.2,1.4,1.5,15.2,13437500,46
247,Jordan McLaughlin,16.3,0.587,0.427,0.219,1.2,7.8,4.4,31.0,2.7,0.6,13.7,15.8,1.1,0.4,1.6,0.13,0.3,0.001,0.3,0.3,PG,23,MIN,30,2.0,19.7,2.9,5.9,0.489,1.0,2.5,0.382,1.9,3.4,0.569,0.57,0.9,1.3,0.667,1.6,4.2,1.1,0.1,1.0,1.0,7.6,79568,61
248,Jordan McRae,15.2,0.523,0.334,0.262,2.7,15.1,8.7,19.1,1.4,2.0,9.7,24.9,0.4,0.3,0.7,0.051,0.8,-1.2,-0.4,0.3,SG,28,WAS,29,4.0,22.6,4.6,10.9,0.42,1.4,3.7,0.377,3.2,7.3,0.441,0.483,2.2,2.9,0.771,3.6,2.8,0.7,0.5,1.3,2.1,12.8,1254933,58
249,Jordan Poole,7.2,0.454,0.528,0.237,0.7,9.6,5.0,15.8,1.3,0.7,11.8,21.1,-1.6,0.4,-1.2,-0.047,-4.4,-2.2,-6.6,-1.5,SG,20,GSW,57,14.0,22.4,2.9,8.8,0.333,1.3,4.6,0.279,1.6,4.2,0.392,0.406,1.7,2.1,0.798,2.1,2.4,0.6,0.2,1.3,1.6,8.8,1964760,28
250,Josh Gray,-5.0,0.5,0.001,0.001,4.6,4.6,4.6,10.4,0.001,0.001,71.4,12.5,-0.1,0.001,-0.1,-0.226,-11.3,-4.7,-16.0,-0.1,PG,26,NOP,2,0.001,11.5,0.5,1.0,0.5,0.001,0.001,0.3415,0.5,1.0,0.5,0.5,0.001,0.001,0.7735000000000001,1.0,1.0,0.001,0.001,2.5,0.5,1.0,79568,61
251,Josh Hart,11.9,0.563,0.665,0.216,3.7,22.1,12.8,8.2,1.7,1.1,11.4,15.3,1.3,1.8,3.1,0.085,-1.1,0.4,-0.7,0.6,SF,24,NOP,65,16.0,27.0,3.5,8.2,0.423,1.9,5.4,0.342,1.6,2.7,0.584,0.537,1.3,1.8,0.739,6.5,1.7,1.0,0.4,1.2,2.5,10.1,1934160,30
252,Josh Jackson,14.1,0.547,0.453,0.314,3.1,14.9,9.1,13.1,2.2,2.1,13.4,22.8,0.1,0.5,0.5,0.069,-1.1,1.1,0.001,0.2,SG,22,MEM,22,0.001,17.3,3.2,7.2,0.44,1.0,3.3,0.319,2.1,4.0,0.54,0.513,1.6,2.3,0.7,3.0,1.6,0.8,0.4,1.3,1.8,9.0,7059480,4
253,Josh Okogie,11.5,0.553,0.387,0.48,5.7,12.8,9.1,8.9,2.0,1.4,15.3,15.1,0.9,1.2,2.2,0.068,-2.4,0.001,-2.4,-0.2,SG,21,MIN,62,28.0,25.0,2.7,6.4,0.427,0.7,2.5,0.266,2.1,3.9,0.529,0.479,2.5,3.1,0.796,4.3,1.6,1.1,0.4,1.4,2.2,8.6,2530680,20
254,Josh Reaves,5.8,0.405,0.222,0.222,3.8,7.4,5.6,14.2,0.001,0.001,0.001,15.1,0.001,0.001,0.001,0.031,-5.9,-4.0,-9.9,-0.1,SG,22,DAL,4,0.001,7.0,0.8,2.3,0.333,0.001,0.5,0.001,0.8,1.8,0.429,0.333,0.5,0.5,1.0,0.8,0.8,0.001,0.001,0.001,1.3,2.0,79568,61
255,Josh Richardson,12.0,0.533,0.385,0.218,2.7,8.7,5.7,13.9,1.5,1.8,12.8,20.6,0.5,1.7,2.1,0.061,-1.4,-0.4,-1.8,0.1,SG,26,PHI,55,53.0,30.8,5.1,11.7,0.43,1.5,4.5,0.341,3.5,7.2,0.486,0.496,2.1,2.6,0.809,3.2,2.9,0.9,0.7,1.9,2.5,13.7,10116576,40
256,Jrue Holiday,17.0,0.537,0.344,0.181,3.8,10.9,7.3,29.1,2.2,1.9,14.5,24.5,2.0,1.9,3.9,0.088,1.6,0.2,1.8,2.0,SG,29,NOP,61,61.0,34.7,7.5,16.5,0.455,2.0,5.7,0.353,5.5,10.8,0.509,0.516,2.1,3.0,0.709,4.8,6.7,1.6,0.8,3.0,2.4,19.1,26131111,17
257,Juan Hernangomez,10.4,0.518,0.522,0.287,5.6,20.5,12.8,6.6,1.1,1.0,10.3,15.7,0.2,0.7,0.9,0.052,-2.2,-1.1,-3.4,-0.3,PF,24,TOT,48,14.0,17.4,2.1,5.1,0.405,0.9,2.7,0.341,1.2,2.5,0.475,0.494,0.9,1.5,0.62,4.1,0.8,0.4,0.2,0.7,1.3,6.0,3321029,15
258,Juan ToscanoAnderson,9.4,0.529,0.365,0.079,3.5,17.8,10.4,13.8,2.3,1.7,19.7,12.7,-0.1,0.2,0.2,0.03,-4.0,0.5,-3.5,-0.1,SF,26,GSW,13,6.0,20.9,2.2,4.8,0.46,0.6,1.8,0.348,1.6,3.1,0.525,0.524,0.2,0.4,0.6,4.0,2.0,1.0,0.4,1.2,2.3,5.3,350189,61
259,Julius Randle,17.5,0.538,0.23,0.35,7.5,24.9,16.0,15.8,1.2,1.0,14.3,27.6,0.9,1.8,2.7,0.062,0.7,-1.0,-0.3,0.9,PF,25,NYK,64,64.0,32.5,7.2,15.7,0.46,1.0,3.6,0.277,6.2,12.1,0.515,0.492,4.0,5.5,0.733,9.7,3.1,0.8,0.3,3.0,2.8,19.5,18000000,7
260,Justin Holiday,12.1,0.585,0.681,0.138,1.9,12.2,7.1,6.7,2.3,2.2,7.9,13.4,1.6,2.6,4.2,0.112,-0.5,1.8,1.3,1.5,SG,30,IND,73,6.0,25.0,2.8,6.7,0.428,1.8,4.5,0.405,1.0,2.1,0.477,0.566,0.7,0.9,0.791,3.3,1.3,1.2,0.6,0.6,1.9,8.3,4767000,61
261,Justin Jackson,9.5,0.496,0.478,0.147,2.7,12.6,7.7,6.8,0.7,0.8,3.7,15.4,0.6,0.6,1.2,0.054,-2.1,-1.3,-3.4,-0.4,PF,24,DAL,65,3.0,16.1,2.1,5.2,0.396,0.7,2.5,0.294,1.3,2.7,0.489,0.466,0.6,0.8,0.84,2.4,0.8,0.2,0.2,0.2,1.1,5.5,3280920,15
262,Justin Jackson,9.5,0.496,0.478,0.147,2.7,12.6,7.7,6.8,0.7,0.8,3.7,15.4,0.6,0.6,1.2,0.054,-2.1,-1.3,-3.4,-0.4,PF,24,DAL,65,3.0,16.1,2.1,5.2,0.396,0.7,2.5,0.294,1.3,2.7,0.489,0.466,0.6,0.8,0.84,2.4,0.8,0.2,0.2,0.2,1.1,5.5,3280920,43
263,Justin James,11.0,0.477,0.345,0.25,2.8,12.9,7.8,11.2,1.3,3.7,7.9,18.9,-0.1,0.2,0.1,0.028,-1.4,-0.1,-1.4,0.001,SG,23,SAC,36,0.001,6.4,1.0,2.3,0.417,0.3,0.8,0.31,0.7,1.5,0.473,0.47,0.3,0.6,0.476,0.9,0.5,0.2,0.3,0.2,0.5,2.5,898310,40
264,Justin Patton,4.7,0.45,0.4,0.001,4.7,17.9,11.5,12.6,0.001,0.001,16.7,22.0,-0.1,0.001,0.001,-0.063,-6.8,-3.3,-10.1,0.001,C,22,OKC,5,0.001,4.8,0.8,2.0,0.4,0.2,0.8,0.25,0.6,1.2,0.5,0.45,0.001,0.001,0.7735000000000001,1.0,0.4,0.001,0.001,0.4,0.8,1.8,483115,16
265,Justin WrightForeman,8.8,0.437,0.5,0.2,0.001,11.8,6.1,23.0,2.2,0.001,12.1,24.1,-0.1,0.1,0.001,-0.008,-7.0,-2.0,-9.0,-0.1,PG,22,UTA,4,0.001,11.3,1.8,5.0,0.35,0.5,2.5,0.2,1.3,2.5,0.5,0.4,0.8,1.0,0.75,1.3,1.8,0.5,0.001,0.8,1.3,4.8,79568,53
266,Justise Winslow,8.5,0.44,0.209,0.209,5.3,17.5,11.6,18.7,1.0,1.4,14.6,20.6,-0.4,0.4,0.001,-0.004,-3.5,0.001,-3.5,-0.1,SF,23,MIA,11,5.0,32.0,4.5,11.7,0.388,0.5,2.5,0.222,4.0,9.3,0.431,0.411,1.6,2.5,0.667,6.6,4.0,0.6,0.5,2.2,3.5,11.3,13000000,10
267,Jusuf Nurkic,22.6,0.567,0.092,0.321,9.6,24.1,16.9,19.1,2.1,5.4,13.2,24.0,0.5,0.3,0.9,0.164,1.0,0.9,2.0,0.2,C,25,POR,8,8.0,31.6,6.8,13.6,0.495,0.3,1.3,0.2,6.5,12.4,0.525,0.505,3.9,4.4,0.886,10.3,4.0,1.4,2.0,2.4,4.9,17.6,12000000,16
268,Juwan Morgan,10.1,0.648,0.308,0.154,8.5,15.1,11.9,6.2,0.4,1.2,17.8,11.0,0.2,0.1,0.3,0.106,-2.9,-0.3,-3.2,0.001,PF,22,UTA,21,0.001,6.4,0.7,1.2,0.577,0.1,0.4,0.375,0.6,0.9,0.667,0.635,0.1,0.2,0.75,1.4,0.3,0.001,0.1,0.3,0.9,1.7,746054,61
269,KZ Okpala,13.7,0.595,0.2,0.4,4.5,16.6,10.8,5.5,3.8,3.8,14.5,11.7,0.001,0.001,0.1,0.118,-1.3,4.0,2.7,0.001,SF,20,MIA,5,0.001,5.2,0.6,1.0,0.6,0.001,0.2,0.001,0.6,0.8,0.75,0.6,0.2,0.4,0.5,1.0,0.2,0.4,0.2,0.2,0.4,1.4,898310,32
270,KarlAnthony Towns,26.5,0.642,0.445,0.363,8.1,26.1,16.8,22.8,1.3,2.9,13.2,28.8,3.7,1.3,5.1,0.204,7.0,0.8,7.8,2.9,C,24,MIN,35,35.0,33.9,9.0,17.8,0.508,3.3,7.9,0.412,5.8,9.9,0.586,0.6,5.1,6.5,0.796,10.8,4.4,0.9,1.2,3.1,3.3,26.5,27285000,1
271,Kawhi Leonard,26.9,0.589,0.287,0.355,3.1,19.1,11.3,26.4,2.6,1.6,10.2,33.0,5.4,3.3,8.7,0.226,6.5,2.4,8.9,5.1,SF,28,LAC,57,57.0,32.4,9.3,19.9,0.47,2.2,5.7,0.378,7.2,14.2,0.506,0.524,6.2,7.1,0.886,7.1,4.9,1.8,0.6,2.6,2.0,27.1,32742000,15
272,Keita BatesDiop,12.5,0.535,0.456,0.316,3.3,15.1,9.0,6.7,1.2,2.6,5.6,15.8,0.6,0.5,1.0,0.077,-0.8,-0.1,-0.9,0.2,SF,24,MIN,37,0.001,17.5,2.4,5.6,0.422,0.8,2.5,0.33,1.5,3.0,0.5,0.498,1.2,1.8,0.708,3.0,0.8,0.5,0.5,0.4,1.0,6.8,1416852,48
273,Kelan Martin,9.2,0.506,0.53,0.171,2.5,18.6,10.2,6.8,0.7,1.5,9.3,17.8,-0.1,0.3,0.2,0.023,-3.3,-1.0,-4.3,-0.3,SF,24,MIN,31,4.0,16.0,2.3,5.8,0.392,0.8,3.1,0.26,1.5,2.7,0.541,0.461,1.0,1.0,0.968,3.1,0.7,0.2,0.3,0.6,1.6,6.4,79568,61
274,Keldon Johnson,19.1,0.711,0.247,0.494,3.6,16.8,10.2,7.2,2.2,0.6,10.7,17.4,0.8,0.2,1.1,0.174,1.5,0.001,1.5,0.3,SF,20,SAS,17,1.0,17.7,3.1,5.2,0.596,0.8,1.3,0.591,2.4,3.9,0.597,0.669,2.1,2.6,0.795,3.4,0.9,0.8,0.1,0.8,1.6,9.1,1950600,29
275,Kelly Olynyk,14.6,0.621,0.588,0.251,3.9,21.6,13.1,13.3,1.7,1.8,13.8,17.4,1.9,1.8,3.7,0.135,0.001,1.0,1.0,1.0,C,28,MIA,67,9.0,19.4,2.7,5.9,0.462,1.4,3.5,0.406,1.3,2.4,0.543,0.582,1.3,1.5,0.86,4.6,1.7,0.7,0.3,1.1,2.6,8.2,12667885,13
276,Kelly Oubre,14.9,0.56,0.372,0.298,3.8,17.1,10.4,6.6,1.7,1.8,8.2,22.4,1.7,2.1,3.8,0.093,-0.3,-0.3,-0.5,0.7,SF,24,PHO,56,55.0,34.5,6.7,14.8,0.452,1.9,5.5,0.352,4.7,9.3,0.511,0.517,3.4,4.4,0.78,6.4,1.5,1.3,0.7,1.5,3.4,18.7,15625000,15
277,Kemba Walker,20.0,0.575,0.532,0.272,2.2,11.0,6.7,24.2,1.3,1.5,10.5,27.2,3.9,2.0,5.9,0.162,4.9,-0.3,4.6,2.9,PG,29,BOS,56,56.0,31.1,6.8,15.9,0.425,3.2,8.4,0.381,3.5,7.4,0.476,0.526,3.7,4.3,0.864,3.9,4.8,0.9,0.5,2.1,1.6,20.4,32742000,9
278,Kendrick Nunn,12.9,0.534,0.428,0.109,1.2,8.7,5.1,18.5,1.4,0.8,10.6,24.1,0.4,1.6,2.0,0.049,-1.0,-1.3,-2.3,-0.1,SG,24,MIA,67,67.0,29.3,6.0,13.6,0.439,2.0,5.8,0.35,3.9,7.8,0.505,0.514,1.3,1.5,0.85,2.7,3.3,0.8,0.2,1.7,2.3,15.3,1416852,61
279,Kenrich Williams,7.5,0.429,0.66,0.177,6.5,17.3,11.9,8.4,1.5,2.1,12.2,8.9,0.1,0.8,0.9,0.05,-3.4,0.9,-2.4,-0.1,PF,25,NOP,39,18.0,21.3,1.3,3.8,0.347,0.6,2.5,0.258,0.7,1.3,0.52,0.432,0.2,0.7,0.346,4.8,1.5,0.7,0.5,0.6,2.3,3.5,1416852,61
280,Kent Bazemore,9.3,0.499,0.457,0.275,1.7,17.1,9.4,7.4,2.1,2.1,13.2,17.5,-0.9,1.5,0.6,0.017,-3.4,0.3,-3.1,-0.5,SF-SG,30,TOT,68,21.0,24.8,2.9,7.9,0.375,1.2,3.6,0.344,1.7,4.3,0.4,0.453,1.7,2.2,0.769,4.3,1.4,1.1,0.6,1.3,2.9,8.8,19269663,61
281,Kentavious CaldwellPope,11.0,0.584,0.471,0.201,2.4,6.4,4.4,8.5,1.5,0.7,10.1,14.7,1.9,1.9,3.7,0.102,-1.2,0.4,-0.8,0.5,SG,26,LAL,69,26.0,25.5,3.4,7.3,0.467,1.3,3.5,0.385,2.1,3.9,0.541,0.558,1.1,1.5,0.775,2.1,1.6,0.8,0.2,0.9,1.9,9.3,8139282,8
282,Kevin Hervey,5.0,0.315,0.741,0.001,2.2,22.7,12.7,13.9,0.9,1.7,0.001,22.8,-0.2,0.1,-0.1,-0.085,-4.0,-1.1,-5.1,0.001,PF,23,OKC,10,0.001,5.2,0.7,2.7,0.259,0.3,2.0,0.15,0.4,0.7,0.571,0.315,0.001,0.001,0.7735000000000001,1.2,0.5,0.1,0.1,0.001,0.4,1.7,79568,57
283,Kevin Huerter,11.5,0.536,0.548,0.105,2.1,12.0,7.0,17.5,1.4,1.3,12.0,17.1,1.0,0.6,1.6,0.043,-0.7,-0.9,-1.6,0.2,SG,21,ATL,56,48.0,31.4,4.5,10.9,0.413,2.3,6.0,0.38,2.2,4.9,0.453,0.517,0.9,1.1,0.828,4.1,3.8,0.9,0.5,1.6,2.5,12.2,2636280,19
284,Kevin Knox,8.3,0.47,0.496,0.252,2.5,14.7,8.4,7.4,1.0,2.3,9.2,17.8,-0.5,0.7,0.2,0.007,-3.1,-1.1,-4.2,-0.7,SF,20,NYK,65,4.0,17.9,2.2,6.2,0.359,1.0,3.1,0.327,1.2,3.1,0.391,0.44,1.0,1.6,0.653,2.8,0.9,0.4,0.4,0.7,1.6,6.4,4380120,9
285,Kevin Love,17.9,0.599,0.536,0.301,3.3,31.1,17.1,15.4,0.9,0.9,14.5,23.1,2.5,1.3,3.8,0.101,2.6,-0.5,2.0,1.8,PF,31,CLE,56,56.0,31.8,5.8,13.0,0.45,2.6,7.0,0.374,3.2,6.0,0.537,0.55,3.3,3.9,0.854,9.8,3.2,0.6,0.3,2.5,1.6,17.6,28942830,5
286,Kevin Porter,10.8,0.535,0.375,0.24,2.1,13.5,7.7,13.9,1.9,1.0,16.7,20.5,-0.3,0.6,0.3,0.012,-3.2,-0.6,-3.8,-0.5,SF,19,CLE,50,3.0,23.2,3.7,8.4,0.442,1.1,3.2,0.335,2.7,5.3,0.506,0.505,1.5,2.0,0.723,3.2,2.2,0.9,0.3,1.9,2.7,10.0,1290960,39
287,Kevin Porter,10.8,0.535,0.375,0.24,2.1,13.5,7.7,13.9,1.9,1.0,16.7,20.5,-0.3,0.6,0.3,0.012,-3.2,-0.6,-3.8,-0.5,SF,19,CLE,50,3.0,23.2,3.7,8.4,0.442,1.1,3.2,0.335,2.7,5.3,0.506,0.505,1.5,2.0,0.723,3.2,2.2,0.9,0.3,1.9,2.7,10.0,1290960,30
288,Kevon Looney,9.4,0.403,0.177,0.152,11.2,16.3,13.6,11.1,2.2,2.1,12.5,15.7,-0.2,0.2,0.001,0.006,-4.8,-0.8,-5.6,-0.2,C,23,GSW,20,4.0,13.1,1.5,4.0,0.367,0.1,0.7,0.071,1.4,3.3,0.431,0.373,0.5,0.6,0.75,3.3,1.0,0.6,0.3,0.6,1.7,3.4,4464286,30
289,Khem Birch,11.7,0.566,0.007,0.706,10.3,15.6,12.9,7.3,1.1,2.3,14.2,10.2,1.2,0.9,2.2,0.112,-2.5,0.2,-2.4,-0.1,C,27,ORL,48,24.0,19.2,1.5,3.0,0.51,0.001,0.001,0.001,1.5,3.0,0.514,0.51,1.4,2.1,0.653,4.6,1.0,0.4,0.5,0.6,1.9,4.4,3000000,61
290,Khris Middleton,21.1,0.619,0.374,0.24,2.5,17.0,10.2,22.2,1.3,0.3,11.6,26.4,4.6,3.3,7.9,0.205,3.4,0.7,4.1,2.9,SF,28,MIL,62,59.0,29.9,7.6,15.3,0.497,2.4,5.7,0.415,5.2,9.6,0.546,0.575,3.4,3.7,0.916,6.2,4.3,0.9,0.1,2.2,2.3,20.9,30603448,39
291,Khyri Thomas,3.1,0.453,0.824,0.235,1.8,0.001,0.9,6.7,2.4,0.001,13.8,15.6,-0.1,0.001,0.001,-0.038,-6.2,-1.7,-7.9,-0.1,SG,23,DET,8,0.001,7.6,0.6,2.1,0.294,0.6,1.8,0.357,0.001,0.4,0.001,0.441,0.3,0.5,0.5,0.1,0.4,0.4,0.001,0.4,1.1,2.1,1416852,38
292,Kostas Antetokounmpo,16.3,0.902,0.001,0.667,11.1,5.4,8.2,13.7,0.001,0.001,20.5,10.3,0.1,0.001,0.1,0.193,0.2,-0.9,-0.7,0.001,PF,22,LAL,5,0.001,4.0,0.6,0.6,1.0,0.001,0.001,0.3415,0.6,0.6,1.0,1.0,0.2,0.4,0.5,0.6,0.4,0.001,0.001,0.2,0.4,1.4,79568,60
293,Kris Dunn,12.1,0.51,0.327,0.158,1.9,14.9,8.1,19.4,3.8,1.3,15.7,14.6,0.3,2.0,2.3,0.085,-3.7,3.1,-0.6,0.4,PG,25,CHI,51,32.0,24.9,3.0,6.7,0.444,0.6,2.2,0.259,2.4,4.5,0.535,0.487,0.8,1.1,0.741,3.6,3.4,2.0,0.3,1.3,3.1,7.3,5348007,5
294,Kristaps Porzingis,20.2,0.551,0.432,0.304,5.9,25.1,15.6,8.8,1.1,5.4,8.0,27.0,2.6,2.6,5.2,0.138,1.8,0.1,1.9,1.8,PF,24,DAL,57,57.0,31.8,7.0,16.4,0.427,2.5,7.1,0.352,4.5,9.3,0.484,0.503,4.0,5.0,0.799,9.5,1.8,0.7,2.0,1.6,3.2,20.4,27285000,4
295,Ky Bowman,9.1,0.494,0.333,0.128,2.5,10.7,6.5,19.4,2.1,0.9,17.1,17.2,-0.6,0.6,-0.1,-0.003,-4.0,-0.3,-4.3,-0.6,PG,22,GSW,45,12.0,22.6,3.0,7.1,0.417,0.7,2.4,0.308,2.2,4.8,0.472,0.469,0.8,0.9,0.829,2.7,2.9,1.0,0.2,1.6,2.3,7.4,350189,61
296,Kyle Alexander,4.7,0.5,0.001,0.001,17.9,8.3,12.9,0.001,0.001,0.001,33.3,10.2,0.001,0.001,0.001,-0.003,-6.1,-3.5,-9.6,0.001,PF,23,MIA,2,0.001,6.5,0.5,1.0,0.5,0.001,0.001,0.3415,0.5,1.0,0.5,0.5,0.001,0.001,0.7735000000000001,1.5,0.001,0.001,0.001,0.5,0.5,1.0,79568,61
297,Kyle Anderson,12.5,0.534,0.257,0.236,4.7,17.6,11.3,15.9,1.9,2.4,15.3,13.5,0.9,1.7,2.5,0.091,-1.5,2.0,0.5,0.9,PF,26,MEM,67,28.0,19.9,2.3,4.9,0.474,0.4,1.3,0.282,2.0,3.7,0.541,0.511,0.8,1.2,0.667,4.3,2.4,0.8,0.6,1.0,1.7,5.8,9073050,30
298,Kyle Guy,6.6,0.4,0.6,0.001,0.001,11.5,5.6,15.6,0.001,0.001,0.001,21.7,0.001,0.001,0.001,-0.045,-7.5,-4.8,-12.3,0.001,SG,22,SAC,3,0.001,3.3,0.7,1.7,0.4,0.001,1.0,0.001,0.7,0.7,1.0,0.4,0.001,0.001,0.7735000000000001,0.3,0.3,0.001,0.001,0.001,0.3,1.3,79568,55
299,Kyle Korver,11.3,0.62,0.809,0.14,1.6,10.4,6.3,9.2,1.2,1.1,13.4,15.4,0.9,1.5,2.5,0.124,-0.6,0.7,0.1,0.5,SF,38,MIL,58,1.0,16.6,2.2,5.1,0.43,1.7,4.1,0.418,0.5,1.0,0.482,0.599,0.6,0.7,0.854,2.1,1.2,0.4,0.2,0.8,1.3,6.7,2564753,51
300,Kyle Kuzma,12.2,0.531,0.407,0.232,3.8,15.7,9.8,7.6,0.9,1.5,11.0,22.9,0.1,1.9,2.0,0.063,-1.6,-1.0,-2.6,-0.2,PF,24,LAL,61,9.0,25.0,4.8,11.0,0.436,1.4,4.5,0.316,3.4,6.5,0.518,0.5,1.9,2.5,0.735,4.5,1.3,0.5,0.4,1.5,2.1,12.8,1974600,27
301,Kyle Lowry,17.7,0.59,0.58,0.427,1.6,12.8,7.3,30.6,1.9,1.2,15.7,23.1,4.2,3.3,7.5,0.171,2.2,1.0,3.2,2.8,PG,33,TOR,58,58.0,36.2,5.8,13.8,0.416,2.8,8.0,0.352,2.9,5.8,0.504,0.518,5.1,5.9,0.857,5.0,7.5,1.4,0.4,3.1,3.3,19.4,33296296,24
302,Kyle OQuinn,18.6,0.544,0.318,0.235,12.0,29.0,20.5,22.7,1.1,6.5,17.6,15.7,0.5,0.6,1.1,0.165,0.3,2.7,3.0,0.4,C,29,PHI,29,2.0,10.8,1.4,2.9,0.494,0.2,0.9,0.259,1.2,2.0,0.603,0.535,0.4,0.7,0.55,4.0,1.8,0.2,0.8,0.7,1.3,3.5,2174318,49
303,Kyrie Irving,26.2,0.595,0.341,0.245,3.5,12.5,8.1,36.7,1.9,1.3,10.1,32.6,2.1,0.8,2.9,0.21,6.7,0.9,7.7,1.6,PG,27,BRK,20,20.0,32.9,10.0,20.8,0.478,2.8,7.1,0.394,7.2,13.7,0.522,0.546,4.7,5.1,0.922,5.2,6.4,1.4,0.5,2.6,2.7,27.4,31742000,1
304,LaMarcus Aldridge,19.7,0.571,0.198,0.241,6.3,17.8,12.0,11.4,1.0,4.4,7.8,23.4,3.0,1.4,4.5,0.122,1.8,-0.5,1.4,1.5,C,34,SAS,53,53.0,33.1,7.4,15.0,0.493,1.2,3.0,0.389,6.2,12.0,0.519,0.532,3.0,3.6,0.827,7.4,2.4,0.7,1.6,1.4,2.4,18.9,26000000,2
305,Landry Shamet,8.5,0.58,0.757,0.194,0.4,6.6,3.6,9.1,0.7,0.6,9.0,13.4,1.5,1.1,2.6,0.086,-1.8,-0.3,-2.1,0.001,SG,22,LAC,53,30.0,27.4,3.0,7.4,0.404,2.1,5.6,0.375,0.9,1.8,0.495,0.546,1.2,1.4,0.855,1.9,1.9,0.4,0.2,0.8,2.7,9.3,1995120,26
